,상호,주소,가격,셀프,상표,구
238,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),1495.0,N,현대오일뱅크,은평구
239,타이거주유소,서울 은평구 수색로 188 (증산동),1524.0,Y,SK에너지,은평구
240,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),1524.0,Y,GS칼텍스,은평구
241,불광주유소,서울 은평구 연서로 314 (불광동),1527.0,Y,현대오일뱅크,은평구
242,㈜오일닷컴 다회주유소,서울 은평구 증산로 441,1529.0,Y,S-OIL,은평구
243,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),1534.0,Y,GS칼텍스,은평구
244,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),1534.0,Y,GS칼텍스,은평구
245,응암주유소,서울 은평구 응암로 163,1544.0,Y,현대오일뱅크,은평구
246,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),1545.0,Y,현대오일뱅크,은평구
247,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),1564.0,Y,GS칼텍스,은평구
248,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1568.0,Y,SK에너지,은평구
249,박석고개주유소,서울 은평구 통일로 945 (갈현동),1568.0,Y,SK에너지,은평구
250,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),1568.0,Y,GS칼텍스,은평구
251,대성산업㈜ 대성주유소,서울 은평구 통일로 642,1575.0,Y,GS칼텍스,은평구
252,뉴타운셀프주유소,서울 은평구 통일로 1031,1595.0,Y,S-OIL,은평구
253,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1648.0,N,자가상표,은평구
254,HD현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),1599.0,Y,현대오일뱅크,종로구
255,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),1694.0,Y,현대오일뱅크,종로구
256,자하문주유소,서울 종로구 자하문로 248 (부암동),1699.0,Y,SK에너지,종로구
257,안풍주유소,서울 종로구 자하문로 303,1699.0,N,S-OIL,종로구
258,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),1730.0,N,S-OIL,종로구
259,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,2075.0,N,SK에너지,종로구
260,SK북악주유소,서울 종로구 평창문화로 137,2168.0,N,SK에너지,종로구
261,경복궁주유소,서울 종로구 율곡로 6 (중학동),2240.0,N,GS칼텍스,종로구
262,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),2250.0,N,GS칼텍스,종로구
263,다산주유소,서울 중구 다산로 233,1599.0,Y,S-OIL,중구
264,세화주유소,서울 중구 왕십리로 403,1648.0,N,알뜰주유소,중구
265,장충드림주유소,서울 중구 동호로 296,1665.0,Y,S-OIL,중구
266,HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),1798.0,N,현대오일뱅크,중구
267,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),1819.0,N,SK에너지,중구
268,장충주유소,서울 중구 장충단로 202 (장충동1가),1938.0,N,SK에너지,중구
269,신당동주유소,서울 중구 다산로 242 (신당동),1998.0,N,SK에너지,중구
270,약수주유소,서울 중구 다산로 173,2246.0,N,GS칼텍스,중구
271,필동주유소,서울 중구 퇴계로 196 (필동2가),2359.0,N,GS칼텍스,중구
272,서남주유소,서울 중구 통일로 30,2587.0,N,SK에너지,중구
273,대원주유소,서울 중랑구 동일로 600,1509.0,Y,GS칼텍스,중랑구
274,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),1509.0,Y,현대오일뱅크,중랑구
275,면목SELF주유소,서울 중랑구 동일로 627 (면목동),1509.0,Y,SK에너지,중랑구
276,오천만주유소,서울 중랑구 동일로 547 (면목동),1517.0,Y,S-OIL,중랑구
277,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),1529.0,Y,S-OIL,중랑구
278,우림주유소,서울 중랑구 용마산로 487 (망우제3동),1529.0,Y,GS칼텍스,중랑구
279,대양주유소,서울 중랑구 봉우재로 105 (상봉동),1529.0,Y,GS칼텍스,중랑구
280,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1559.0,N,S-OIL,중랑구
281,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1565.0,Y,S-OIL,중랑구
282,신내주유소,서울 중랑구 용마산로 705 (신내동),1575.0,Y,SK에너지,중랑구
283,용마로주유소,서울 중랑구 용마산로 309 (면목동),1598.0,Y,SK에너지,중랑구
284,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1599.0,Y,SK에너지,중랑구
285,범아주유소,서울 중랑구 동일로 881 (묵동),1599.0,N,S-OIL,중랑구
